1st year fee in inr,1st year fee in pounds,application assessment fee inr ,application assessment fee pound ,application fee inr ,application fee pound ,bachelors,books cost inr,books cost pound,bus pass inr ,bus pass pound ,capstone project fee inr ,capstone project fee pound ,class 12th,college fee inr ,college fee pound ,college membership fee inr ,college membership fee pound ,collegename,course costs inr ,course costs pound ,course related costs inr ,course related costs pound ,coursename,deposit fee inr ,deposit fee pound ,duration,examination fee inr ,examination fee pound ,first year cost,general expenses inr ,general expenses pound ,gmat,gmat recommendation,gre,gre recommendation,health cost inr ,health cost pound ,hostel & meals inr ,hostel & meals pound ,housing deposit inr ,housing deposit pound ,ielts,ielts recommendation,insurance inr ,insurance pound ,level,living costs inr,living costs pound,location,misc costs inr,miscellaneous expense pound ,miscellaneous expenses pound ,miscellaneous pound ,mobile expense inr ,mobile expense pound ,nhs health surcharge inr ,nhs health surcharge pound ,orientation fees inr ,orientation fees pound ,other expenses inr ,other expenses pound ,payment administration inr ,payment administration pound ,personal expenses inr,personal expenses pound,placement companies,pte,pte recommendation,rank,residence booking fee inr ,residence booking fee pound ,schol link,schol text,security deposit inr ,security deposit pound ,shikshacourseurl,shishkacollegeurl,social and sporting activities inr ,social and sporting activities pound ,study costs inr ,study costs pound ,toefl recommendation,total inr ,total pound ,transportation inr ,transportation pound ,tuition deposit inr ,tuition deposit pound ,tuition fee deposit inr ,tuition fee deposit pound ,work experience
"17,38,048","20,800",,,,,60%,"39,106",468,,,,,No specific cutoff mentioned,,,,,Royal Holloway University of London,,,,,MBA International Management,,,1 Years,,,Rs 25.4 Lakhs,,,,,,,,,"5,27,849","6,317",,,7,With writing 6.0 and no other subscore lower than 5.5,,,Masters Program,,,"Egham, UK",,,,,,,,,,,,,,,"1,62,942","1,950",,69,With writing 54 and no other subscore lower than 51,53,,,,,,,https://studyabroad.shiksha.com/uk/universities/royal-holloway-university-of-london/mba-international-management,https://studyabroad.shiksha.com/uk/universities/royal-holloway-university-of-london?refCourseId=200386,,,,,,"Rs. 8,27,662","Pound 9,905","97,765","1,170",,,,,3years
"16,62,844","19,900",,,,,60%,"48,131",576,,,,,No specific cutoff mentioned,,,,,University of Hull,,,,,Hull Executive MBA (EMBA),,,12-15 Months,,,Rs 21.3 Lakhs,,,,,,,,,"4,07,021","4,871",,,6.5,5.5 in all skills,,,Masters Program,,,"Kingston upon Hull, UK",,,,,,,,,,,,,,,"16,044",192,"['Deloitte', 'GE Money', 'Hewlett Packard', 'IBM', 'KPMG', 'Marks and Spencer', 'SONY', 'Samsung']",54,With a minimum of 51 in each skill,54,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-hull/mba,https://studyabroad.shiksha.com/uk/universities/university-of-hull?refCourseId=212776,,,,,,"Rs. 4,91,249","Pound 5,879","20,054",240,,,,,3years
"12,49,222","14,950",,,,,No specific cutoff mentioned,"40,109",480,,,,,No specific cutoff mentioned,,,,,University of Dundee,,,,,MSc Management,,,1 Years,,,Rs 16.6 Lakhs,,,,,,,,,"3,86,214","4,622",,,6,With minimum of 5.5 in any component,,,Masters Program,,,"Dundee, UK",,,,,,,,,,,,,,,,,,56,With a minimum score of 56 in each,55,,,http://www.dundee.ac.uk/study/pg/scholarships-fees/international-scholarships/,['International students are offered Dean’s International Scholarship.\nThe Dean’s International Scholarship is available to applicants in each of the 15 Academic Schools.\nThis scholarship is payable for each year of the degree at Dundee.'],,,https://studyabroad.shiksha.com/uk/universities/university-of-dundee/msc-management,https://studyabroad.shiksha.com/uk/universities/university-of-dundee?refCourseId=212759,,,,,,"Rs. 4,26,323","Pound 5,102",,,,,,,
"10,61,212","12,700",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,,,,,The University of Northampton,,,,,Master of Business Administration,,,1 Years,,,Rs 18.0 Lakhs,,,,,,,,,"2,37,143","2,838",,,6.5,With 6.5 in each component,,,Masters Program,"5,14,897","6,162","Northampton, UK",,,,,,,,,,,,,,,,,,61,With 61 in each component,56,,,http://www.northampton.ac.uk/study/fees-and-funding/funding-your-study/bursaries-scholarships-and-awards,"['The University of Northampton is very pleased to offer a generous scholarship to applicants outside of the European Union who have strong academic backgrounds.\nApplicants do not have to apply for a scholarship separately, all international application forms are automatically considered for the scholarship when an application is made.\nSuccessful students currently receive a reduction of up to £2000 on their tuition fees for the duration of their course.']",,,https://studyabroad.shiksha.com/uk/universities/the-university-of-northampton/masters-in-business-administration,https://studyabroad.shiksha.com/uk/universities/the-university-of-northampton?refCourseId=212768,,,,,,"Rs. 7,52,040","Pound 9,000",,,,,,,No work experience mentioned
"16,04,352","19,200",,,,,,,,,,,,,,,,,University of Portsmouth,,,,,MBA,,,1 Years,,,Rs 21.9 Lakhs,,,,,,,,,"3,39,755","4,066",,,6.5,with no component score below 6.0.,,,Masters Program,,,"Portsmouth, UK",,,,,,,,,"29,246",350,,,,,"2,42,324","2,900",,61,Minimum of 54 in each component,57,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-portsmouth/mba,https://studyabroad.shiksha.com/uk/universities/university-of-portsmouth?refCourseId=198002,,,,,,"Rs. 6,11,325","Pound 7,316",,,,,,,
"12,03,264","14,400",,,,,50%,,,,,,,No specific cutoff mentioned,,,,,University of Lincoln,,,,,MBA,,,1 Years,,,Rs 15.5 Lakhs,,,,,,,,,"3,58,055","4,285",,,6,With no less than 5.5 in each sub-section,,,Masters Program,,,"Lincoln, UK",,,,,,,,,,,,,,,,,,54,With Listening: 51; Reading: 51; Speaking: 51; Writing: 51,58,,,https://www.lincoln.ac.uk/home/studyatlincoln/postgraduateprogrammes/scholarships/international/,"['', ' Academic Excellence Scholarship: Students will need to submit a 500 word statement, explaining why you should be awarded the scholarship \n', ' Global Postgraduate Scholarships: For self-funding international (non-UK/EU) students with overseas fee status applying for postgraduate programmes\n', ' Chevening Scholarships: For all international students who show outstanding leadership potential\n', ' Commonwealth Scholarships: The University of Lincoln offers scholarships under the Commonwealth Scholarships Part-Funding Arrangement to qualifying Masters and PhD students']",,,https://studyabroad.shiksha.com/uk/universities/university-of-lincoln/mba-finance,https://studyabroad.shiksha.com/uk/universities/university-of-lincoln?refCourseId=210650,,,,,,"Rs. 3,58,055","Pound 4,285",,,,,,,2years
"11,69,840","14,000",,,,,55%,"42,950",514,,,,,No specific cutoff mentioned,,,,,De Montfort University,,,,,Master of Business Administration (Global) MBA,,,15 Months,,,Rs 12.4 Lakhs,,,,,,,,,,,,,6.5,,,,Masters Program,,,"Leicester, UK","42,950",514,,,,,,,,,,,,,,,,,,59,,,http://www.dmu.ac.uk/international/en/before-you-apply-to-study-at-dmu/fees-and-scholarships/fees-and-scholarships.aspx,"['Offers £1,000 scholarships to students from India and Faculty scholarships']",,,https://studyabroad.shiksha.com/uk/universities/de-montfort-university/master-of-business-administration-global-mba,https://studyabroad.shiksha.com/uk/universities/de-montfort-university?refCourseId=198211,,,,,,"Rs. 85,900","Pound 1,028",,,,,,,
"9,40,050","11,250",,,,,50%,"1,00,272","1,200",,,,,No specific cutoff mentioned,,,,,University of West London,,,,,MBA,,,1 Years,,,Rs 18.1 Lakhs,,,,,,,,,"5,40,048","6,463",,,6.5,"A minimum of 5.5 for each of the 4 individual components (Reading, Writing, Speaking and Listening)",,,Masters Program,,,"London, UK",,,,,,,,,,,,,,,"2,00,544","2,400","['CITI Bank', 'Accenture', 'BBC', 'Yahoo', 'The Times Of India']",,,60,,,http://www.uwl.ac.uk/students/postgraduate/scholarships-and-bursaries#pg_lcm_pros,"['Exclusive alumni discounts: Friends / family of alumni of the University of West London, or predecessor institution, are eligible for a discount of £1,000 when joining a postgraduate course']",,,https://studyabroad.shiksha.com/uk/universities/university-of-west-london/mba,https://studyabroad.shiksha.com/uk/universities/university-of-west-london?refCourseId=210296,,,,,,"Rs. 8,91,000","Pound 10,663","50,136",600,,,,,2years
"13,09,385","15,670",,,,,55%,,,,,,,No specific cutoff mentioned,,,,,Edinburgh Napier University,,,,,MBA - Master of Business Administration,,,12 Months,,,Rs 21.4 Lakhs,,,,,,,,,"2,93,296","3,510",,,6,"Minimum 5.5 in each element (listening, speaking, reading and writing)",,,Masters Program,"5,59,016","6,690","Edinburgh, UK",,,,,,,,,,,,,,,,,,56,"51 in the listening, reading, writing and speaking components",61,,,,,,,https://studyabroad.shiksha.com/uk/universities/edinburgh-napier-university/mba-master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/edinburgh-napier-university?refCourseId=198416,,,,,,"Rs. 8,52,312","Pound 10,200",,,,,,,2years
"15,45,860","18,500",,,,,6.00 GPA,"63,923",765,,,,,No specific cutoff mentioned,,,,,University of Essex,,,,,MBA,,,1 Years,,,Rs 22.2 Lakhs,,,,,,,,,"5,12,390","6,132",,,6.5,Each component must be at least IELTS 6 or equivalent,,,Masters Program,,,"Colchester, UK","83,560","1,000",,,,,,,,,,,,,,,,60,,62,,,http://www.essex.ac.uk/studentfinance/pg/university_support/v_c_International_scholarships.aspx,"['The Vice-Chancellor has established a £150,000 scholarship fund to support international students who are funding their own studies at the University of Essex.\nThis scholarship scheme is specifically for non-EU students.\nAwards will be made on the basis of academic merit.']",,,https://studyabroad.shiksha.com/uk/universities/university-of-essex/mba,https://studyabroad.shiksha.com/uk/universities/university-of-essex?refCourseId=200011,,,,,,"Rs. 6,93,297","Pound 8,297","33,424",400,,,,,3years
"12,11,620","14,500",,,,,50%,"37,602",450,,,,,No specific cutoff mentioned,,,,,Birmingham City University,,,,,Master of Business Administration,,,12-18 Months,,,Rs 18.5 Lakhs,,,Accepted,GMAT is not mandatory but a score of at least 500 is preferable,,,,,"4,73,033","5,661",,,6.5,With minimum of 5.5 in each band,,,Masters Program,,,"Birmingham, UK",,,,,,,,,,,,,,,"1,13,809","1,362",,Accepted,,63,,,,,,,https://studyabroad.shiksha.com/uk/universities/birmingham-city-university/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/birmingham-city-university?refCourseId=212539,,,,,,"Rs. 6,57,032","Pound 7,863","32,588",390,,,,,No work experience mentioned
"Rs. 11,07,170","Pound 13,250",,,,,55%,,,,,,,No specific cutoff mentioned,,,,,Sheffield Hallam University,,,,,MSc International Marketing,,,12-15 Months,,,Rs 11.0 Lakhs,,,,,,,,,,,,,6,"Listening: 5.5
Speaking: 5.5
Reading:  5.5
Writing: 5.5",,,Masters Program,,,"Sheffield, UK",,,,,,,,,,,,,,,,,,52,"Listening: minimum level 51
Speaking: minimum level 51
Reading: minimum level 51
Writing: minimum 51",64,,,,,,,https://studyabroad.shiksha.com/uk/universities/sheffield-hallam-university/msc-international-marketing,https://studyabroad.shiksha.com/uk/universities/sheffield-hallam-university?refCourseId=194938,,,,,,,,,,,,,,
"10,44,500","12,500",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,,,,,University of Worcester,,,,,MBA,,,1 Years,,,Rs 15.2 Lakhs,,,,,,,,,"4,85,233","5,807",,,6.5,with no less than 5.5 in each component,,,Masters Program,,,"Worcester, UK",,,,,,,,,,,,,,,,,,70,with no less than 51 in each component,65,,,http://www.worcester.ac.uk/documents/Tuition_Fees-_additional_information_for_International_students,"['', ' Those students who holding an offer from Worcester University and  are not being funded from another source can be given scholarships by various bodies like:- \nUK and international Government bodies\nEuropean Commission']",,,https://studyabroad.shiksha.com/uk/universities/university-of-worcester/mba,https://studyabroad.shiksha.com/uk/universities/university-of-worcester?refCourseId=211781,,,,,,"Rs. 4,85,233","Pound 5,807",,,,,,,
"14,20,520","17,000",,,,,60%,"27,073",324,,,,,No specific cutoff mentioned,,,,,Swansea University,,,,,MSc Management (Marketing),,,1 Years,,,Rs 19.5 Lakhs,,,,,,,,,"4,17,800","5,000",,,6,With no component less than 5.5,"10,027",120,Masters Program,,,"Swansea, UK",,,,,,,,,,,,,,,"66,848",800,,56,,66,,,http://www.swansea.ac.uk/international/students/fees-and-funding/india/,['1) International Excellence Scholarships are available for students enrolling in Postgraduate programs\n2) International Merit Scholarships worth £2000 are offered. All Postgraduate applicants must be enrolling on an eligible course at Swansea University for the first time in September 2016'],,,https://studyabroad.shiksha.com/uk/universities/swansea-university/msc-management-marketing,https://studyabroad.shiksha.com/uk/universities/swansea-university?refCourseId=199123,,,,,,"Rs. 5,46,817","Pound 6,544","25,068",300,,,,,
"10,36,144","12,400",,,,,,,,,,,,,,,,,The University of Winchester,,,,,MSc Business Management,,,1 Years,,,Rs 13.7 Lakhs,,,,,,,,,"3,50,952","4,200",,,6.5,6.0 in academic writing and no score must be below 5.5,,,Masters Program,,,"Winchester, UK",,,,,,,,,,,,,,,,,,61,,67,,,http://www.winchester.ac.uk/Studyhere/internationalstudents/Feesandfunding/Pages/Funding.aspx,"['All postgraduate International students who are successful upon being made an offer to study at the University of Winchester will be eligible for an automatic postgraduate scholarship of £1,000 once they have accepted their offer.\nThis amount will be taken off the tuition fees owed by the student.']",,,https://studyabroad.shiksha.com/uk/universities/the-university-of-winchester/msc-business-management,https://studyabroad.shiksha.com/uk/universities/the-university-of-winchester?refCourseId=200185,,,,,,"Rs. 3,50,952","Pound 4,200",,,,,,,
"15,79,284","18,900",,,,,60%,"40,109",480,,,,,No specific cutoff mentioned,,,,,Kingston University London,,,,,Master of Business Administration,,,1 Years,,,Rs 21.8 Lakhs,,,Accepted,,,,,,"5,55,674","6,650",,,6.5,With no score below 6.0,,,Masters Program,,,"Kingston upon Thames, UK",,,,,,,,,,,,,,,,,,61,With no score below 61,68,,,,,,,https://studyabroad.shiksha.com/uk/universities/kingston-university-london/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/kingston-university-london?refCourseId=199087,,,,,,"Rs. 5,95,783","Pound 7,130",,,,,,,3years
"13,28,604","15,900",,,,,60%,"12,534",150,,,,,No specific cutoff mentioned,,,,,Nottingham Trent University,,,,,Master of Business Administration,,,1-2 Years,,,Rs 17.1 Lakhs,,,550,,,,,,"3,24,798","3,887",,,6.5,With a minimum of 5.5 in each skill,"10,863",130,Masters Program,,,"Nottingham, UK",,,,,,,,,,,,,,,,,,,,69,,,http://www.ntu.ac.uk/nbs/courses/fees_and_funding/masters_scholarships/index.html?utm_medium=short_url&utm_campaign=nbsscholarships&utm_term=NBS&utm_source=short_url,"['', 'Nottingham Business School International Scholarship - All MSc offer holders for a course are eligible for the scholarship']",,,https://studyabroad.shiksha.com/uk/universities/nottingham-trent-university/mba,https://studyabroad.shiksha.com/uk/universities/nottingham-trent-university?refCourseId=200059,,,,,,"Rs. 3,98,331","Pound 4,767","50,136",600,,,,,3years
"10,02,720","12,000",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,,,,,University of Central Lancashire,,,,,MBA,,,1 Years,,,Rs 12.7 Lakhs,,,,,,,,,"2,77,336","3,319",,,6.5,,,,Masters Program,,,"Preston, UK",,,,,,,,,,,,,,,,,,,,70,,,http://www.uclan.ac.uk/courses/mba_master_business_administration.php,['Offers various types of aids for international students'],,,https://studyabroad.shiksha.com/uk/universities/university-of-central-lancashire/mba,https://studyabroad.shiksha.com/uk/universities/university-of-central-lancashire?refCourseId=212560,,,,,,"Rs. 2,77,336","Pound 3,319",,,,,,,2years
"11,69,840","14,000",,,,,55%,,,,,,,No specific cutoff mentioned,,,,,University of Gloucestershire,,,,,MBA Business Administration,,,2 Years,,,Rs 14.9 Lakhs,,,,,,,,,"3,34,240","4,000",,,6.5,no less than 6.0 in writing and 5.5 in any other band,,,Masters Program,,,"Cheltenham, UK",,,,,,,,,,,,,,,,,,,,71,,,http://www.glos.ac.uk/international/prospective/scholarships/Pages/scholarships.aspx,['The University of Gloucestershire is pleased to be able to reward academic excellence and operates an extensive scholarship programme for international students.'],,,https://studyabroad.shiksha.com/uk/universities/university-of-gloucestershire/mba-business-administration,https://studyabroad.shiksha.com/uk/universities/university-of-gloucestershire?refCourseId=212672,,,,,,"Rs. 3,34,240","Pound 4,000",,,,,,,2years
"Rs. 9,69,750","USD 15,000",,,,,60%,,,,,,,No specific cutoff mentioned,,,,,Royal Agricultural University,,,,,MBA International Food and Agribusiness,,,1 Years,,,Rs 9.7 Lakhs,,,,,,,,,,,,,6.5,no element below 5.5,,,Masters Program,,,"Cirencester, UK",,,,,,,,,,,,,,,,,,,,72,,,http://www.rau.ac.uk/study/international-students/fees/funding-opportunities,"['The Royal Agricultural University has several funding opportunities for international students for 2014 entry. \nOnly one University managed scholarship can be held at one time, and these funding opportunities should be applied for once a firm offer at the RAU has been accepted.']",,,https://studyabroad.shiksha.com/uk/universities/royal-agricultural-university/mba-international-food-and-agribusiness,https://studyabroad.shiksha.com/uk/universities/royal-agricultural-university?refCourseId=212551,,,,,,,,,,,,,,2years
"10,02,720","12,000",,,,,50%,,,,,,,No specific cutoff mentioned,,,,,University of Chichester,,,,,Masters of International Business and Finance,,,1.5 Years,,,Rs 14.8 Lakhs,,,,,,,,,"4,94,592","5,919",,,6.5,,,,Masters Program,,,"Chichester, UK",,,,,,,,,,,,,,,,,,,,73,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-chichester/masters-of-international-business-and-finance,https://studyabroad.shiksha.com/uk/universities/university-of-chichester?refCourseId=200742,,,,,,"Rs. 4,94,592","Pound 5,919",,,,,,,
"13,03,536","15,600",,,,,50%,"33,424",400,,,,,No specific cutoff mentioned,,,,,University Of The West Of England,,,,,MBA,,,1 Years,,,Rs 28.4 Lakhs,,,,,,,,,"13,16,070","15,750",,,6.5,5.5 in each component,,,Masters Program,"2,00,544","2,400","Bristol, UK","16,712",,,200,,,,,,,,,,,,,,58,At least 51 in each component,74,,,http://www1.uwe.ac.uk/bl/bbs/courses/mba/feesandfunding.aspx,['Bristol MBA scholarships are available to all International applicants who meet the eligibility criteria.\nUp to six scholarships will be available for the January intake of the MBA.'],,,https://studyabroad.shiksha.com/uk/universities/university-of-the-west-of-england/mba,https://studyabroad.shiksha.com/uk/universities/university-of-the-west-of-england?refCourseId=200651,,,,,,"Rs. 15,66,750","Pound 18,750",,,,,,,3years
"14,03,808","16,800",,,,,55%,,,,,,,No specific cutoff mentioned,,,,,University of Salford,"33,424",400,,,MBA,,,1 Years,,,Rs 20.0 Lakhs,,,,,,,,,"3,75,017","4,488",,,6.5,No component score below 5.5,,,Masters Program,,,"Manchester, UK",,,,,,,,,,,"1,57,928","1,890",,,,,,,,75,,,http://www.salford.ac.uk/international/salford-great-scholarships-india,"[""Offers the Vice Chancellor's Excellence Scholarship, Country bursary scheme and Salford GREAT Scholarships (India)""]",,,https://studyabroad.shiksha.com/uk/universities/university-of-salford/mba,https://studyabroad.shiksha.com/uk/universities/university-of-salford?refCourseId=199058,,,,,,"Rs. 6,18,678","Pound 7,404","52,309",626,,,,,3years
"12,86,824","15,400",,,,,50%,,,,,,,No specific cutoff mentioned,,,,,Manchester Metropolitan University,,,,,MSc International Human Resource Management,,,1 Years,,,Rs 17.8 Lakhs,,,,,,,,,"6,09,403","7,293",,,6.5,No less than 5.5 in any section,,,Masters Program,,,"., UK",,,,,,,,,,,,,,,,,,61,No less than 51 in any section,76,,,http://www2.mmu.ac.uk/international/scholarships/vice-chancellor-scholarships/,"['There will be six full-time scholarships, each worth £1,000 and six part-time scholarships, each worth £500.']",,,https://studyabroad.shiksha.com/uk/universities/manchester-metropolitan-university/msc-international-human-resource-management,https://studyabroad.shiksha.com/uk/universities/manchester-metropolitan-university?refCourseId=211443,,,,,,"Rs. 6,09,403","Pound 7,293",,,,,,,
"Rs. 10,86,280","Pound 13,000",,,,,55%,,,,,,,No specific cutoff mentioned,,,,,Teesside University,,,,,Master of Business Administration,,,12 Months,,,Rs 10.8 Lakhs,,,,,,,,,,,,,6.5,,,,Masters Program,,,"Middlesbrough, UK",,,,,,,,,,,,,,,,,,58,,77,,,http://www.tees.ac.uk/sections/international/fees_funding.cfm,"['International students are eligible for International scholarships if they are a self-funded international (non-European Union) student studying on foundation, undergraduate or postgraduate programmes - not sponsored by their employer or government.']",,,https://studyabroad.shiksha.com/uk/universities/teesside-university/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/teesside-university?refCourseId=200105,,,,,,,,,,,,,,No work experience mentioned
"15,19,121","18,180",,,,,60%,,,,,,,No specific cutoff mentioned,,,,,University of Brighton,,,,,MBA,,,1 Years,,,Rs 20.2 Lakhs,,,Accepted,Not mandatory but will strengthen the application,,,,,"4,92,085","5,889",,,6.5,With 6.0 in the written test and a minimum of 5.5 in the other elements,,,Masters Program,,,"Brighton, UK",,,,,,,,,,,,,,,,,,,,78,,,http://www.brighton.ac.uk/international/applying-here/fees-and-scholarships/index.aspx,"['', ' University of Brighton offers a number of different scholarships to international students.']",,,https://studyabroad.shiksha.com/uk/universities/university-of-brighton/mba,https://studyabroad.shiksha.com/uk/universities/university-of-brighton?refCourseId=209697,,,,,,"Rs. 5,22,584","Pound 6,254","30,499",365,,,,,3years
"12,53,400","15,000",,,,,50%,,,,,,,No specific cutoff mentioned,,,,,Bangor University,,,,,Management (MBA),,,1 Years,,,Rs 16.4 Lakhs,,,,,,,,,"4,04,598","4,842",,,6,With no element below 5.5,,,Masters Program,,,"Bangor, UK",,,,,,,,,,,,,,,,,,56,With no element lower than 51,79,,,http://www.bangor.ac.uk/international/future/scholarship.php.en,"['', 'The University offers international merit scholarship worth £15000 for three years and additional to eligible Indian students \n', 'The University also offers Bangor Great Scholarship to the international students which values 1500-16500 pound in addition to any other scholarship awarded by Bangor University\nOther scholarship available to students is as follows-\n1. Electronic Engineering Scholarship\n', 'Three awards are given to international students on the basis of their academic performance which values 1500 pound for 3 years\n2. Chevening Scholarship\n', 'Three awards are given to international students on the basis of their academic performance which values 1500 pound for 3 years\n3. Bangor Bursary\n', 'The University offers Bangor bursaries of up to £1,500 a year for those from lower income families']",,,https://studyabroad.shiksha.com/uk/universities/bangor-university/management-mba,https://studyabroad.shiksha.com/uk/universities/bangor-university?refCourseId=196297,,,,,,"Rs. 4,04,598","Pound 4,842",,,,,,,No work experience mentioned
"Rs. 7,35,328","Pound 8,800",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,,,,,University of the West of Scotland,,,,,Master of Business Administration (MBA),,,1 Years,,,Rs 7.3 Lakhs,,,,,,,,,,,,,6,minimum of 5.5 in each component,,,Masters Program,,,"Paisley, UK",,,,,,,,,,,,,,,,,,,,80,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-the-west-of-scotland/master-of-business-administration-mba,https://studyabroad.shiksha.com/uk/universities/university-of-the-west-of-scotland?refCourseId=200645,,,,,,,,,,,,,,No work experience mentioned
"12,07,442","14,450",,,,,55%,,,,,,,No specific cutoff mentioned,,,,,Keele University,,,,,MA Marketing,,,1-1.5 Years,,,Rs 16.3 Lakhs,,,,,,,,,"4,43,286","5,305",,,6.5,Minimum 5.5 in each section,,,Masters Program,,,"Keele, UK",,,,,,,,,,,,,,,,,,,,81,,,http://www.keele.ac.uk/international/thinkingofapplying/postgraduatetaughtmastersdegrees/tuitionfeesandscholarshipinformation/#tabs-9,"['Offers Keele International Student Scholarship, Chevening Scholarships and Keele Country Scholarships to students']",,,https://studyabroad.shiksha.com/uk/universities/keele-university/ma-marketing,https://studyabroad.shiksha.com/uk/universities/keele-university?refCourseId=198836,,,,,,"Rs. 4,43,286","Pound 5,305",,,,,,,
