,CollegeName,Country,International Faculty,Number of Internal Students,Percent International PostGrad,Percent International UnderGrad,Percent Post Grad Students,Percent Undergraduate Students,Ranking,Total Academic Faculty,Total Number of Students,URL
329,College of William & Mary,United States,45,689,45%,55%,24%,76%,#551-600 QS World University Rankings 2018,761,"8,193",https://www.topuniversities.com/node/294524
330,University of Tampere,Finland,57,458,93%,7%,47%,53%,#551-600 QS World University Rankings 2018,663,"9,451",https://www.topuniversities.com/node/297269
331,University of Oregon,United States,60,"2,890",14%,86%,14%,86%,#551-600 QS World University Rankings 2018,"1,772","22,102",https://www.topuniversities.com/node/297643
332,Universidad Iberoamericana (UIA),Mexico,,,,,9%,91%,#601-650 QS World University Rankings 2018,914,"12,047",https://www.topuniversities.com/node/294249
333,Universidad Anahuac,Mexico,123,267,25%,75%,17%,83%,#601-650 QS World University Rankings 2018,"1,171","12,063",https://www.topuniversities.com/node/294636
334,University of Bradford,United Kingdom,119,"2,513",30%,70%,15%,85%,#601-650 QS World University Rankings 2018,595,"9,160",https://www.topuniversities.com/node/294591
335,The New School,United States,42,"3,159",34%,66%,31%,69%,#601-650 QS World University Rankings 2018,"1,009","9,047",https://www.topuniversities.com/node/297650
336,Universität Duisburg-Essen,Germany,181,"7,636",44%,56%,34%,66%,#601-650 QS World University Rankings 2018,"1,730","40,979",https://www.topuniversities.com/node/294436
337,Universidade de Santiago de Compostela,Spain,18,"1,154",60%,40%,18%,82%,#601-650 QS World University Rankings 2018,"1,723","24,681",https://www.topuniversities.com/node/297434
338,"University of Missouri, Columbia",United States,214,"1,996",57%,43%,18%,82%,#601-650 QS World University Rankings 2018,"2,473","32,257",https://www.topuniversities.com/node/294851
339,Ulster University,United Kingdom,450,"1,605",45%,55%,14%,86%,#601-650 QS World University Rankings 2018,"1,119","19,040",https://www.topuniversities.com/node/296383
340,Tallinn University of Technology,Estonia,106,"1,369",53%,47%,46%,54%,#601-650 QS World University Rankings 2018,848,"10,500",https://www.topuniversities.com/node/297270
341,Dublin Institute of Technology,Ireland,194,"2,620",25%,75%,12%,88%,#651-700 QS World University Rankings 2018,911,"14,734",https://www.topuniversities.com/node/294493
342,National and Kapodistrian University of Athens,Greece,19,"5,834",5%,95%,39%,61%,#651-700 QS World University Rankings 2018,"1,758","65,252",https://www.topuniversities.com/node/294623
343,Universidad Adolfo Ibàñez,Chile,55,381,30%,70%,17%,83%,#651-700 QS World University Rankings 2018,330,"10,472",https://www.topuniversities.com/node/294642
344,Universidad de Concepción,Chile,119,279,77%,23%,7%,93%,#651-700 QS World University Rankings 2018,"1,544","27,696",https://www.topuniversities.com/node/296834
345,Kuwait University,Kuwait,406,"5,038",5%,95%,3%,97%,#651-700 QS World University Rankings 2018,"1,747","37,095",https://www.topuniversities.com/node/293341
346,Gifu University,Japan,25,284,79%,21%,22%,78%,#651-700 QS World University Rankings 2018,904,"7,323",https://www.topuniversities.com/node/294325
347,Instituto Tecnológico Autónomo de México (ITAM),Mexico,68,231,35%,65%,12%,88%,#651-700 QS World University Rankings 2018,329,"5,688",https://www.topuniversities.com/node/297635
348,Louisiana State University,United States,84,"1,645",66%,34%,16%,84%,#651-700 QS World University Rankings 2018,"1,447","28,730",https://www.topuniversities.com/node/294004
349,Carleton University,Canada,134,"4,389",21%,79%,14%,86%,#651-700 QS World University Rankings 2018,"1,124","25,479",https://www.topuniversities.com/node/294556
350,Universidad Torcuato Di Tella,Argentina,9,116,15%,85%,26%,74%,#651-700 QS World University Rankings 2018,155,"1,957",https://www.topuniversities.com/node/297243
351,University of Ljubljana,Slovenia,73,"2,113",50%,45%,39%,61%,#651-700 QS World University Rankings 2018,"3,629","40,432",https://www.topuniversities.com/node/294040
352,Khazar University,Azerbaijan,49,316,34%,66%,13%,87%,#701-750 QS World University Rankings 2018,216,"2,333",https://www.topuniversities.com/node/293590
353,University of Denver,United States,26,821,43%,57%,42%,58%,#701-750 QS World University Rankings 2018,907,"9,536",https://www.topuniversities.com/node/294500
354,De La Salle University,Philippines,8,452,22%,78%,22%,78%,#701-750 QS World University Rankings 2018,926,"15,653",https://www.topuniversities.com/node/294504
355,International Islamic University Malaysia (IIUM),Malaysia,290,"5,115",51%,49%,20%,80%,#701-750 QS World University Rankings 2018,"1,673","24,525",https://www.topuniversities.com/node/297111
356,University of Bucharest,Romania,9,801,20%,80%,32%,68%,#701-750 QS World University Rankings 2018,"1,745","29,272",https://www.topuniversities.com/node/294579
357,University of Trieste,Italy,59,"1,358",46%,54%,43%,57%,#701-750 QS World University Rankings 2018,"1,340","15,728",https://www.topuniversities.com/node/297237
358,Universidad Nacional de Córdoba - UNC,Argentina,20,"1,946",12%,88%,3%,97%,#701-750 QS World University Rankings 2018,"4,981","105,668",https://www.topuniversities.com/node/296826
359,Airlangga University,Indonesia,21,337,10%,90%,24%,76%,#701-750 QS World University Rankings 2018,"2,194","32,246",https://www.topuniversities.com/node/294643
360,London Metropolitan University,United Kingdom,129,"3,882",15%,85%,16%,84%,#701-750 QS World University Rankings 2018,545,"9,507",https://www.topuniversities.com/node/294025
361,Ca' Foscari University of Venice,Italy,75,"1,123",37%,63%,32%,68%,#701-750 QS World University Rankings 2018,546,"21,387",https://www.topuniversities.com/node/297066
362,Plymouth University,United Kingdom,249,"2,447",27%,73%,9%,91%,#701-750 QS World University Rankings 2018,"1,300","18,235",https://www.topuniversities.com/node/297557
363,University of Dhaka,Bangladesh,20,116,50%,50%,20%,80%,#701-750 QS World University Rankings 2018,"1,992","32,320",https://www.topuniversities.com/node/294499
364,Universidade Federal de Santa Catarina,Brazil,74,581,65%,35%,35%,65%,#751-800 QS World University Rankings 2018,"2,254","39,006",https://www.topuniversities.com/node/293554
365,Universidad Diego Portales (UDP),Chile,102,461,34%,66%,13%,87%,#751-800 QS World University Rankings 2018,"1,198","17,085",https://www.topuniversities.com/node/294498
366,Universidad de La Sabana,Colombia,30,239,11%,89%,19%,81%,#751-800 QS World University Rankings 2018,691,"10,680",https://www.topuniversities.com/node/294100
367,Universidad Autónoma Metropolitana (UAM),Mexico,195,269,76%,24%,7%,93%,#751-800 QS World University Rankings 2018,"2,871","57,742",https://www.topuniversities.com/node/293412
368,Loyola University Chicago,United States,54,883,48%,52%,31%,69%,#751-800 QS World University Rankings 2018,"1,221","14,249",https://www.topuniversities.com/node/294002
369,Università degli Studi di Perugia,Italy,55,"1,258",38%,62%,44%,56%,#751-800 QS World University Rankings 2018,"1,053","23,732",https://www.topuniversities.com/node/297567
370,University of Colombo,Sri Lanka,,164,50%,50%,28%,72%,#751-800 QS World University Rankings 2018,"1,000","16,433",https://www.topuniversities.com/node/294522
371,Georgia State University,United States,61,"1,495",72%,28%,22%,78%,#751-800 QS World University Rankings 2018,"1,485","26,264",https://www.topuniversities.com/node/294343
372,Yokohama National University,Japan,47,695,71%,29%,25%,75%,#751-800 QS World University Rankings 2018,827,"9,884",https://www.topuniversities.com/node/297174
373,University of Salford,United Kingdom,110,"4,286",35%,65%,16%,84%,#751-800 QS World University Rankings 2018,985,"16,650",https://www.topuniversities.com/node/297473
374,Doshisha University,Japan,141,"1,109",44%,56%,8%,92%,#801-1000 QS World University Rankings 2018,"1,433","29,166",https://www.topuniversities.com/node/294496
375,University of Belgrade,Serbia,98,"4,604",45%,55%,31%,69%,#801-1000 QS World University Rankings 2018,"3,356","101,607",https://www.topuniversities.com/node/295204
376,Manchester Metropolitan University,United Kingdom,240,"4,022",20%,80%,12%,88%,#801-1000 QS World University Rankings 2018,"1,845","27,865",https://www.topuniversities.com/node/297540
377,Universidade Federal do Ceará (UFC),Brazil,11,151,57%,43%,16%,84%,#801-1000 QS World University Rankings 2018,"2,109","29,338",https://www.topuniversities.com/node/296870
378,Savitribai Phule Pune University,India,,146,100%,%,98%,2%,#801-1000 QS World University Rankings 2018,571,"5,401",https://www.topuniversities.com/node/297488
379,George Mason University,United States,81,"2,090",54%,46%,25%,75%,#801-1000 QS World University Rankings 2018,"1,833","25,984",https://www.topuniversities.com/node/297427
380,Universidad de Valparaíso (UV),Chile,33,49,37%,63%,7%,93%,#801-1000 QS World University Rankings 2018,899,"15,343",https://www.topuniversities.com/node/293464
381,Prince of Songkla University,Thailand,99,324,50%,50%,8%,92%,#801-1000 QS World University Rankings 2018,"2,335","41,715",https://www.topuniversities.com/node/297491
382,Université de Cergy-Pontoise,France,120,"2,286",52%,48%,45%,55%,#801-1000 QS World University Rankings 2018,973,"18,345",https://www.topuniversities.com/node/294780
383,Kent State University,United States,127,"2,586",52%,48%,19%,81%,#801-1000 QS World University Rankings 2018,"1,229","24,858",https://www.topuniversities.com/node/295215
384,Université Charles-de-Gaulle Lille 3,,168,"1,179",46%,54%,23%,77%,#801-1000 QS World University Rankings 2018,823,"18,067",https://www.topuniversities.com/node/294057
385,Kazakh Ablai Khan University of International Relations and World Languages,Kazakhstan,30,140,7%,93%,8%,92%,#801-1000 QS World University Rankings 2018,459,"5,036",https://www.topuniversities.com/node/293740
386,Khon Kaen University,Thailand,114,"1,022",34%,66%,24%,76%,#801-1000 QS World University Rankings 2018,"1,945","33,194",https://www.topuniversities.com/node/294143
387,Fu Jen Catholic University,Taiwan,50,"1,743",31%,69%,14%,86%,#801-1000 QS World University Rankings 2018,"1,483","23,153",https://www.topuniversities.com/node/294370
388,Athens University of Economics and Business,Greece,2,427,11%,89%,15%,85%,#801-1000 QS World University Rankings 2018,262,"9,959",https://www.topuniversities.com/node/294622
389,Auburn University,United States,67,"1,753",58%,42%,16%,84%,#801-1000 QS World University Rankings 2018,"1,323","25,151",https://www.topuniversities.com/node/294776
390,University of San Francisco,United States,17,"1,710",26%,74%,35%,65%,#801-1000 QS World University Rankings 2018,734,"10,041",https://www.topuniversities.com/node/297118
391,Universität Rostock,Germany,,895,%,%,70%,34%,#801-1000 QS World University Rankings 2018,"1,341","13,615",https://www.topuniversities.com/node/296569
392,Ritsumeikan University,Japan,353,"1,856",38%,62%,8%,92%,#801-1000 QS World University Rankings 2018,"2,552","35,529",https://www.topuniversities.com/node/297500
393,Diponegoro University,Indonesia,75,173,63%,37%,22%,78%,#801-1000 QS World University Rankings 2018,"2,038","43,941",https://www.topuniversities.com/node/294276
394,University of Siena,Italy,20,"1,114",57%,43%,51%,49%,#801-1000 QS World University Rankings 2018,812,"17,237",https://www.topuniversities.com/node/297347
395,Corvinus University of Budapest,Hungary,21,"1,346",25%,94%,33%,101%,#801-1000 QS World University Rankings 2018,426,"9,627",https://www.topuniversities.com/node/297408
396,Saitama University,Japan,50,423,67%,33%,16%,84%,#801-1000 QS World University Rankings 2018,649,"8,602",https://www.topuniversities.com/node/297476
397,Foothill and De Anza Colleges,United States,,,,,,,,,,https://www.topuniversities.com/node/296127
398,Fundación Universidad de Bogotá Jorge Tadeo Lozano,Colombia,19,38,39%,61%,16%,84%,,596,"10,009",https://www.topuniversities.com/node/293369
399,Tomsk State University of Control Systems and Radioelectronics,Russia,8,"1,286",20%,80%,28%,72%,,546,"5,635",https://www.topuniversities.com/node/296060
400,Holland Education Consortium,Netherlands,,,,,,,,,,https://www.topuniversities.com/node/297091
401,University of Idaho,United States,,,,,,,,,,https://www.topuniversities.com/node/294739
402,Karaganda State Technical University,Kazakhstan,17,635,29%,71%,7%,93%,,705,"6,938",https://www.topuniversities.com/node/293626
403,Università degli Studi di Salerno,Italy,,,,,,,,,,https://www.topuniversities.com/node/294881
404,Central European University,Hungary,184,924,98%,2%,98%,2%,,290,"1,213",https://www.topuniversities.com/node/294544
405,Federal state-financed academic institution of higher education N.P.Ogarev Mordovia State University,Russia,4,738,77%,23%,46%,54%,,"1,712","11,543",https://www.topuniversities.com/node/296043
406,Presidio Graduate School,United States,,,,,,,,,,https://www.topuniversities.com/node/295956
407,Tezpur University,India,,,,,,,,,,https://www.topuniversities.com/node/295532
408,Fundació Universitat Oberta de Catalunya,Spain,,,,,,,,,,https://www.topuniversities.com/node/294728
409,Irkutsk State Technical University,Russia,1,763,14%,86%,7%,93%,,"1,070","19,307",https://www.topuniversities.com/node/295996
410,IACA - International Anti-Corruption Academy,Austria,,,,,,,,,,https://www.topuniversities.com/node/351556
411,Sawyer Business School-USA,United States,,,,,,,,,,https://www.topuniversities.com/node/295423
412,National Dong Hwa University,Taiwan,12,21,96%,4%,36%,64%,,500,"9,342",https://www.topuniversities.com/node/294961
413,Kyiv National University of Trade and Economics,Ukraine,,,,,,,,,,https://www.topuniversities.com/node/293749
414,University of Macedonia,Greece,,,,,,,,,,https://www.topuniversities.com/node/295099
415,Northern (Arctic) Federal University named after M.V. Lomonosov,Russia,28,344,17%,83%,18%,82%,,"1,202","10,473",https://www.topuniversities.com/node/296997
416,"University of Economics in Bratislava, Slovakia",Slovakia,9,98,60%,40%,40%,60%,,612,"8,000",https://www.topuniversities.com/node/293819
417,CALDO Consoritum,Canada,,,,,,,,,,https://www.topuniversities.com/node/295980
418,Russian State University for the Humanities,Russia,8,468,29%,71%,20%,80%,,442,"9,165",https://www.topuniversities.com/node/296016
419,Pontificia Universidad Católica Madre y Maestra (PUCMM),Dominican Republic,79,"1,187",5%,95%,19%,81%,,701,"14,215",https://www.topuniversities.com/node/293376
420,ADA University,Azerbaijan,19,104,38%,63%,14%,86%,,76,"1,120",https://www.topuniversities.com/node/294183
421,Kangwon National University,South Korea,4,592,50%,50%,10%,90%,,"1,403","23,401",https://www.topuniversities.com/node/296742
422,"COLLEGE OF ARTS, CELTIC STUDIES & SOCIAL SCIENCES",Ireland,,,,,,,,,,https://www.topuniversities.com/node/296088
423,Leiden University College The Hague (LUC The Hague),Netherlands,,,,,,,,,,https://www.topuniversities.com/node/293798
424,École Supérieure d'Informatique du CESI (exia.cesi),France,,,,,,,,,,https://www.topuniversities.com/node/293237
425,Université de Tunis El Manar,Tunisia,7,360,51%,49%,29%,71%,,"2,247","35,400",https://www.topuniversities.com/node/293352
426,Hebron University,Palestinian Territory,3,,,,4%,96%,,298,"7,176",https://www.topuniversities.com/node/295312
427,WMG - Warwick Manufacturing Group,United Kingdom,,,,,,,,,,https://www.topuniversities.com/node/296181
428,Swiss Graduate School of Public Administration (IDHEAP),Switzerland,,,,,,,,,,https://www.topuniversities.com/node/296117
429,Palacký University in Olomouc,,183,"1,811",23%,77%,28%,72%,,"1,511","17,968",https://www.topuniversities.com/node/295889
430,UNIVERSIDAD DE HUELVA,Spain,,,,,,,,,,https://www.topuniversities.com/node/295080
431,Tomsk State University of Architecture and Building,Russia,,,,,,,,,,https://www.topuniversities.com/node/295683
432,Pepperdine University School of Public Policy,United States,,,,,,,,,,https://www.topuniversities.com/node/296289
433,Rostov State University of Economics,Russia,,,,,,,,,,https://www.topuniversities.com/node/295646
434,Rochester Institute of Technology (RIT),United States,,,,,,,,,,https://www.topuniversities.com/node/295201
435,The Bucharest University of Economic Studies,Romania,10,648,29%,71%,32%,68%,,818,"21,644",https://www.topuniversities.com/node/295659
436,Webster University - Thailand,Thailand,,,,,,,,,,https://www.topuniversities.com/node/293856
437,International University of Japan,Japan,,,,,,,,,,https://www.topuniversities.com/node/294193
438,Universidade Federal de Lavras,Brazil,80,355,28%,72%,22%,78%,,677,"9,752",https://www.topuniversities.com/node/293550
439,Altai State University,Russia,19,719,23%,77%,25%,75%,,"1,034","7,882",https://www.topuniversities.com/node/296470
440,Universitat Abat Oliba CEU,Spain,,,,,,,,,,https://www.topuniversities.com/node/295653
441,Suffolk University,United States,,,,,,,,,,https://www.topuniversities.com/node/297003
442,The Russian Foreign Trade Academy of the Ministry for Economic Development of the Russian Federation,Russia,,,,,,,,,,https://www.topuniversities.com/node/295944
443,"Rutgers, The State University of New Jersey, Camden",United States,,,,,,,,,,https://www.topuniversities.com/node/296028
444,Monterey Institute of International Studies,United States,,,,,,,,,,https://www.topuniversities.com/node/294847
445,"Alliance School of Business, Alliance University",India,,,,,,,,,,https://www.topuniversities.com/node/295435
446,Parsons School of Design at The New School,United States,,,,,,,,,,https://www.topuniversities.com/node/293910
447,Escuela Superior Politécnica del Litoral (ESPOL),Ecuador,46,33,6%,94%,4%,96%,,491,"10,478",https://www.topuniversities.com/node/293366
448,Shanghai International Studies University,China,140,"1,079",21%,79%,33%,67%,,"1,118","10,188",https://www.topuniversities.com/node/294995
449,American University in the Emirates,United Arab Emirates,114,709,7%,93%,9%,91%,,115,"2,444",https://www.topuniversities.com/node/295635
450,University of Tyumen,Russia,4,249,42%,58%,23%,77%,,829,"12,408",https://www.topuniversities.com/node/294174
451,University of Nicosia,Cyprus,,,,,,,,,,https://www.topuniversities.com/node/295969
452,Kazakh American Free University,Kazakhstan,,,,,,,,,,https://www.topuniversities.com/node/346668
453,Nova Southeastern University,United States,,,,,,,,,,https://www.topuniversities.com/node/294751
454,Paris School of Economics,France,,,,,,,,,,https://www.topuniversities.com/node/294102
455,Volga State University of Technology,Russia,,,,,,,,,,https://www.topuniversities.com/node/295792
456,"Moscow State University of Economics, Statistics and Informatics (MESI)",Russia,,,,,,,,,,https://www.topuniversities.com/node/296114
457,Camosun College,Canada,,,,,,,,,,https://www.topuniversities.com/node/295270
458,University of Management and Technology,Pakistan,,,,,,,,,,https://www.topuniversities.com/node/296142
459,University of Shanghai for Science and Technology,,,,,,,,,,,https://www.topuniversities.com/node/333162
460,Neapolis University Pafos,Cyprus,,,,,,,,,,https://www.topuniversities.com/node/295417
461,Jönköping University,Sweden,,,,,,,,,,https://www.topuniversities.com/node/293891
462,Azerbaijan State University of Economics,Azerbaijan,13,167,16%,84%,17%,83%,,923,"14,692",https://www.topuniversities.com/node/294114
463,George Mason School of Public Policy,United States,,,,,,,,,,https://www.topuniversities.com/node/296193
464,"École Supérieure de Commerce, ESC Saint-Etienne",France,,,,,,,,,,https://www.topuniversities.com/node/293232
465,Universidad de Holguín Oscar Lucero Moya,Cuba,,27,0%,0%,0%,0%,,"1,205","11,671",https://www.topuniversities.com/node/293441
466,Universidade de Caxias do Sul,Brazil,82,169,0%,100%,8%,92%,,746,"24,506",https://www.topuniversities.com/node/293521
467,Tamkang University,Taiwan,58,"1,613",9%,91%,14%,86%,,"1,026","27,060",https://www.topuniversities.com/node/294958
468,IESB,Brazil,,,,,,,,,,https://www.topuniversities.com/node/295487
469,Yasar University,Turkey,,,,,,,,,,https://www.topuniversities.com/node/295666
470,Silpakorn University,Thailand,52,46,59%,41%,10%,90%,,"1,216","24,209",https://www.topuniversities.com/node/294716
471,Indian School of Business,India,,,,,,,,,,https://www.topuniversities.com/node/295633
472,Universidade do Estado de Minas Gerais,Brazil,,,,,4%,96%,,774,"18,407",https://www.topuniversities.com/node/295988
473,Universidad Alberto Hurtado,,,,,,,,,,,https://www.topuniversities.com/node/296252
474,The National University of Ostroh Academy,Ukraine,15,19,79%,21%,17%,83%,,321,"2,160",https://www.topuniversities.com/node/293895
475,Across the Pond - Study in Britain,United States,,,,,,,,,,https://www.topuniversities.com/node/293654
476,University of Sarajevo,Bosnia and Herzegovina,156,960,0%,0%,20%,80%,,"1,626","25,646",https://www.topuniversities.com/node/293747
477,University of Kent in Brussels (Brussels School of International Studies),Belgium,,,,,,,,,,https://www.topuniversities.com/node/295962
478,The Catholic University of America,United States,,,,,,,,,,https://www.topuniversities.com/node/295823
479,The American University of Rome,Italy,,,,,,,,,,https://www.topuniversities.com/node/295681
480,UNIVERSIDADE ESTACIO DE SÁ,Brazil,,,,,,,,,,https://www.topuniversities.com/node/295403
481,Russian-Armenian (Slavonic) University,Armenia,8,664,22%,78%,24%,76%,,237,"2,600",https://www.topuniversities.com/node/295432
482,Claremont Graduate University,United States,,,,,,,,,,https://www.topuniversities.com/node/294526
483,Luiss Guido Carli University,Italy,,,,,,,,,,https://www.topuniversities.com/node/297060
484,"State Higher Educational Establishment ""National Mining University""",Ukraine,62,205,13%,87%,18%,82%,,895,"9,905",https://www.topuniversities.com/node/294396
485,Institute of International Education,Hungary,,,,,,,,,,https://www.topuniversities.com/node/349986
486,Business School Lausanne,Switzerland,,,,,,,,,,https://www.topuniversities.com/node/294580
487,Escuela Europea de Negocios,Spain,,,,,,,,,,https://www.topuniversities.com/node/296052
488,"Lee Kuan Yew School of Public Policy, National University of Singapore",Singapore,,,,,,,,,,https://www.topuniversities.com/node/295410
489,Wuhan University of Technology,China,45,"1,299",48%,52%,25%,75%,,"3,345","50,721",https://www.topuniversities.com/node/296816
490,Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,Italy,1,135,100%,%,76%,24%,,119,789,https://www.topuniversities.com/node/297078
491,Roosevelt University,United States,,,,,,,,,,https://www.topuniversities.com/node/295791
492,Florida Gulf Coast University,United States,,,,,,,,,,https://www.topuniversities.com/node/293143
493,Polzunov Altai State Technical University,Russia,4,445,9%,91%,26%,74%,,791,"9,211",https://www.topuniversities.com/node/295658
494,Ural Institute of Presidential Academy,Russia,,,,,,,,,,https://www.topuniversities.com/node/296006
495,ISCTE - University Institute of Lisbon,Portugal,,,,,,,,,,https://www.topuniversities.com/node/293665
496,Instituto Superior de Economia y Administración de Empresas,El Salvador,,,,,,,,,,https://www.topuniversities.com/node/293707
497,"ENSCBP, Bordeaux",France,,,,,,,,,,https://www.topuniversities.com/node/293246
498,Boston University Brussels,Belgium,,,,,,,,,,https://www.topuniversities.com/node/293640
499,KIMEP University,Kazakhstan,,,,,,,,,,https://www.topuniversities.com/node/295114
500,UNIVERSIDAD POR LA PAZ,Costa Rica,,,,,,,,,,https://www.topuniversities.com/node/295283
501,Universidad Especializada de las Americas UDELAS,Panama,,,,,,,,,,https://www.topuniversities.com/node/295519
502,Narxoz University,Kazakhstan,,,,,,,,,,https://www.topuniversities.com/node/293793
503,Universidad Alberto Hurtado,Chile,,,,,10%,90%,,359,"5,103",https://www.topuniversities.com/node/297112
504,Petrozavodsk State University,Russia,34,175,65%,35%,28%,72%,,659,"9,038",https://www.topuniversities.com/node/296474
505,Shenzhen University,China,67,857,2%,98%,14%,86%,,"3,016","39,695",https://www.topuniversities.com/node/293144
506,Sriwijaya University,Indonesia,,64,13%,88%,10%,90%,,"1,133","27,553",https://www.topuniversities.com/node/296938
507,Universidad Autónoma de Santo Domingo (UASD),Dominican Republic,,409,0%,0%,0%,100%,,"1,184","151,974",https://www.topuniversities.com/node/293404
508,Universidad Privada Dr. Rafael Belloso Chacín,Venezuela,28,"1,816",97%,3%,15%,85%,,644,"31,277",https://www.topuniversities.com/node/293414
509,American University of Paris (AUP),France,,,,,,,,,,https://www.topuniversities.com/node/294691
510,Yeditepe University,Turkey,,,,,,,,,,https://www.topuniversities.com/node/350518
511,Reshetnev Siberian State Aerospace University,Russia,4,221,48%,52%,34%,66%,,535,"8,134",https://www.topuniversities.com/node/295854
512,Universität Kassel,Germany,,,,,,,,,,https://www.topuniversities.com/node/296580
513,Vistula University,Poland,13,512,0%,85%,0%,0%,,236,"3,138",https://www.topuniversities.com/node/296056
514,Facultad de Economía y Negocios Universidad de Chile,Chile,,,,,,,,,,https://www.topuniversities.com/node/293127
515,Zaragoza Logistic Center,Spain,,,,,,,,,,https://www.topuniversities.com/node/297106
516,"Masagung Graduate School of Management, University of San Francisco",United States,,,,,,,,,,https://www.topuniversities.com/node/293129
517,Peter F. Drucker Graduate School,United States,,,,,,,,,,https://www.topuniversities.com/node/295935
518,Archimedes Foundation / Study in Estonia,Estonia,,,,,,,,,,https://www.topuniversities.com/node/295987
519,ParisTech,France,,,,,,,,,,https://www.topuniversities.com/node/293794
520,Regis University,United States,,,,,,,,,,https://www.topuniversities.com/node/297450
521,Università degli studi Guglielmo Marconi,Italy,,,,,,,,,,https://www.topuniversities.com/node/296920
522,Universidad CEU San Pablo,Spain,,,,,,,,,,https://www.topuniversities.com/node/294542
523,Shahid Beheshti University (SBU),Iran,7,214,57%,43%,57%,43%,,856,"16,791",https://www.topuniversities.com/node/296802
524,Almaty Management University,Kazakhstan,,,,,,,,,,https://www.topuniversities.com/node/293879
525,École Nationale Supérieure en Génie des Systèmes Industriels (ENSGSI),France,,,,,,,,,,https://www.topuniversities.com/node/293224
526,Oklahoma City University,United States,,,,,,,,,,https://www.topuniversities.com/node/296086
527,Emerson College,United States,,,,,,,,,,https://www.topuniversities.com/node/294473
528,Brunel Business School,United Kingdom,,,,,,,,,,https://www.topuniversities.com/node/296160
529,St. John's University,United States,,,,,,,,,,https://www.topuniversities.com/node/295826
530,Moscow State University of Education,Russia,,,,,,,,,,https://www.topuniversities.com/node/295454
531,Hertie School of Governance,Germany,,,,,,,,,,https://www.topuniversities.com/node/294262
532,Thunderbird School of Global Management,United States,,,,,,,,,,https://www.topuniversities.com/node/293638
533,Ball State University,United States,,,,,,,,,,https://www.topuniversities.com/node/297372
534,Universiti Brunei Darussalam (UBD),Brunei,251,618,59%,41%,16%,84%,,495,"2,993",https://www.topuniversities.com/node/295818
535,Tallinn University,Estonia,32,557,0%,0%,32%,68%,,398,"7,579",https://www.topuniversities.com/node/293796
536,Universidad de los Andes - Chile,Chile,34,176,28%,72%,20%,80%,,800,"9,284",https://www.topuniversities.com/node/293446
537,Pepperdine University,United States,,,,,,,,,,https://www.topuniversities.com/node/297568
538,State University of New York - SUNY Global Center,United States,,,,,,,,,,https://www.topuniversities.com/node/296027
539,CEU Business School,Hungary,,,,,,,,,,https://www.topuniversities.com/node/309701
540,Barcelona Graduate School of Economics,Spain,75,234,89%,0%,100%,0%,,156,263,https://www.topuniversities.com/node/297085
541,Kazan National Research Technological University,Russia,3,"1,618",8%,92%,26%,74%,,"1,469","13,928",https://www.topuniversities.com/node/295997
542,"École Supérieure de Commerce, ESC Chambery, Savoie",France,,,,,,,,,,https://www.topuniversities.com/node/293230
543,Allameh Tabataba'i University,Iran,,,,,,,,,,https://www.topuniversities.com/node/307767
