,Economics and Business global research reputation,Economics and Business international collaboration,Economics and Business normalized citation impact,Economics and Business number of publications that are among the 10 percent most cited,Economics and Business overall score,Economics and Business percentage of total publications that are among the 10 percent most cited,Economics and Business publications,Economics and Business regional research reputation,Economics and Business total citations,Name,Rank,Subject Score,URL,website
0,#136,#113,#66,#63,45.7,#59,#70,#136,#71,University of California--Davis,#81,45.7,https://www.usnews.com/education/best-global-universities/university-of-california-davis-110644,http://www.ucdavis.edu
1,#86,#118,#44,#72,45.6,#30,#122,#126,#85,Washington University in St. Louis,#82,45.6,https://www.usnews.com/education/best-global-universities/washington-university-in-st-louis-179867,http://www.wustl.edu
2,#168,#82,#49,#81,43.0,#73,#78,#180,#72,University of Colorado--Boulder,#90,43,https://www.usnews.com/education/best-global-universities/university-of-colorado-boulder-126614,http://www.colorado.edu
3,#115,#138,#30,#85,42.8,#35,#152,#124,#91,University of Arizona,"#91
          Tie",42.8,https://www.usnews.com/education/best-global-universities/university-of-arizona-104179,http://www.arizona.edu
4,#146,#105,#27,#81,42.8,#26,#144,#176,#88,University of South Carolina,"#91
          Tie",42.8,https://www.usnews.com/education/best-global-universities/university-of-south-carolina-218663,http://www.sc.edu
5,#66,#143,#119,#106,39.8,#119,#104,#93,#106,University of Florida,#104,39.8,https://www.usnews.com/education/best-global-universities/university-of-florida-134130,http://www.ufl.edu
6,#197,#61,#71,#89,37.0,#34,#156,#208,#119,Syracuse University,"#114
          Tie",37,https://www.usnews.com/education/best-global-universities/syracuse-university-196413,http://syr.edu
7,#132,#236,#25,#92,37.0,#27,#170,#163,#100,University of Notre Dame,"#114
          Tie",37,https://www.usnews.com/education/best-global-universities/university-of-notre-dame-152080,http://www.nd.edu
8,#142,#237,#90,#95,36.5,#123,#72,#139,#79,University of Georgia,#119,36.5,https://www.usnews.com/education/best-global-universities/university-of-georgia-139959,http://www.uga.edu/
9,#189,#76,#29,#113,35.6,#43,#220,#172,#120,Rice University,#121,35.6,https://www.usnews.com/education/best-global-universities/rice-university-227757,http://www.rice.edu
10,#14,#161,#24,#13,73.4,#29,#17,#15,#13,Northwestern University,#12,73.4,https://www.usnews.com/education/best-global-universities/northwestern-university-147767,http://www.northwestern.edu
11,#21,#191,#8,#11,73.0,#7,#28,#33,#12,Duke University,#13,73,https://www.usnews.com/education/best-global-universities/duke-university-198419,http://www.duke.edu/
12,#8,#202,#5,#22,69.6,#6,#60,#20,#24,Princeton University,#16,69.6,https://www.usnews.com/education/best-global-universities/princeton-university-186131,http://www.princeton.edu
13,#20,#166,#60,#16,67.5,#66,#10,#41,#16,Cornell University,#17,67.5,https://www.usnews.com/education/best-global-universities/cornell-university-190415,http://www.cornell.edu
14,#15,#147,#15,#29,65.4,#20,#57,#28,#29,University of California--Los Angeles,#21,65.4,https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662,http://www.ucla.edu/
15,#25,#116,#41,#22,64.6,#44,#28,#45,#20,University of Minnesota--Twin Cities,#22,64.6,https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066,http://www.umn.edu
16,#72,#108,#14,#17,64.2,#16,#42,#93,#18,Arizona State University--Tempe,#24,64.2,https://www.usnews.com/education/best-global-universities/arizona-state-university-tempe-104151,http://www.asu.edu
17,#51,#71,#36,#20,64.1,#33,#31,#63,#23,Michigan State University,#25,64.1,https://www.usnews.com/education/best-global-universities/michigan-state-university-171100,http://www.msu.edu/
18,#54,#117,#20,#21,63.1,#22,#39,#87,#21,University of Maryland--College Park,#26,63.1,https://www.usnews.com/education/best-global-universities/university-of-maryland-college-park-163286,http://www.maryland.edu
19,#44,#87,#54,#25,62.0,#56,#23,#72,#25,Pennsylvania State University--University Park,#27,62,https://www.usnews.com/education/best-global-universities/pennsylvania-state-university-university-park-214777,http://www.psu.edu
20,,,,,,,,,,IU Kelley School of Business,#155,29.2,https://www.usnews.com/education/best-global-universities/iu-kelley-school-of-business-529137,http://kelley.iu.edu/
21,#131,#238,#67,#134,29.0,#69,#209,#124,#146,Emory University,"#156
          Tie",29,https://www.usnews.com/education/best-global-universities/emory-university-139658,http://www.emory.edu
22,#127,#57,#115,#174,29.0,#132,#224,#148,#184,University of Iowa,"#156
          Tie",29,https://www.usnews.com/education/best-global-universities/university-of-iowa-153658,http://www.uiowa.edu
23,#139,#225,#54,#119,28.7,#55,#197,#230,#132,University of Illinois--Chicago,"#162
          Tie",28.7,https://www.usnews.com/education/best-global-universities/university-of-illinois-chicago-145600,http://www.uic.edu
24,#232,#219,#112,#113,27.8,#109,#129,#208,#117,University of Tennessee,#169,27.8,https://www.usnews.com/education/best-global-universities/university-of-tennessee-221759,http://www.utk.edu/
25,#157,#121,#170,#174,27.0,#170,#160,#157,#176,Vanderbilt University,#170,27,https://www.usnews.com/education/best-global-universities/vanderbilt-university-221999,http://www.vanderbilt.edu
26,#236,#120,#115,#145,26.7,#117,#167,#180,#153,University of Arkansas,#171,26.7,https://www.usnews.com/education/best-global-universities/university-of-arkansas-106397,http://www.uark.edu
27,#176,#203,#160,#142,26.5,#137,#136,#208,#154,University of Connecticut,#172,26.5,https://www.usnews.com/education/best-global-universities/university-of-connecticut-129020,http://www.uconn.edu
28,#113,#112,#125,#194,26.4,#187,#184,#197,#166,University of Massachusetts--Amherst,#173,26.4,https://www.usnews.com/education/best-global-universities/university-of-massachusetts-amherst-166629,http://www.umass.edu
29,#57,#199,#149,#194,25.3,#147,#245,#119,#215,University of Rochester,#182,25.3,https://www.usnews.com/education/best-global-universities/university-of-rochester-195030,http://www.rochester.edu
30,#1,#185,#3,#1,100.0,#4,#1,#5,#1,Harvard University,#1,100,https://www.usnews.com/education/best-global-universities/harvard-university-166027,http://www.harvard.edu/
31,#2,#193,#1,#3,90.3,#2,#12,#3,#2,Massachusetts Institute of Technology,#2,90.3,https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-166683,http://web.mit.edu/
32,#9,#154,#7,#2,86.6,#5,#5,#14,#3,University of Pennsylvania,#3,86.6,https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062,http://www.upenn.edu
33,#3,#104,#17,#4,86.3,#15,#4,#4,#5,Stanford University,#4,86.3,https://www.usnews.com/education/best-global-universities/stanford-university-243744,http://www.stanford.edu
34,#5,#151,#6,#6,85.3,#11,#7,#9,#4,University of California--Berkeley,#5,85.3,https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635,http://berkeley.edu/
35,#4,#222,#4,#4,84.0,#3,#15,#7,#6,University of Chicago,#6,84,https://www.usnews.com/education/best-global-universities/university-of-chicago-144050,http://www.uchicago.edu
36,#12,#65,#20,#8,81.5,#21,#6,#17,#7,Columbia University,#7,81.5,https://www.usnews.com/education/best-global-universities/columbia-university-190150,http://www.columbia.edu
37,#13,#79,#18,#7,81.3,#16,#8,#19,#8,New York University,#8,81.3,https://www.usnews.com/education/best-global-universities/new-york-university-193900,http://www.nyu.edu
38,#16,#180,#19,#9,77.7,#12,#13,#20,#10,University of Michigan--Ann Arbor,#10,77.7,https://www.usnews.com/education/best-global-universities/university-of-michigan-ann-arbor-170976,http://www.umich.edu
39,#10,#88,#10,#12,76.8,#10,#27,#24,#14,Yale University,#11,76.8,https://www.usnews.com/education/best-global-universities/yale-university-130794,http://www.yale.edu/
40,#98,#115,#32,#22,60.3,#37,#32,#107,#22,Indiana University--Bloomington,#29,60.3,https://www.usnews.com/education/best-global-universities/indiana-university-bloomington-151351,http://www.iub.edu
41,#53,#193,#33,#27,58.7,#39,#41,#66,#28,Ohio State University--Columbus,#32,58.7,https://www.usnews.com/education/best-global-universities/ohio-state-university-columbus-204796,http://www.osu.edu
42,#58,#166,#37,#26,58.3,#31,#45,#80,#33,Texas A&M University--College Station,#34,58.3,https://www.usnews.com/education/best-global-universities/texas-am-university-college-station-228723,http://www.tamu.edu
43,#24,#123,#75,#40,57.7,#76,#44,#35,#40,University of Texas--Austin,"#36
          Tie",57.7,https://www.usnews.com/education/best-global-universities/university-of-texas-austin-228778,http://www.utexas.edu
44,#64,#160,#22,#30,57.6,#25,#51,#102,#31,University of Southern California,#38,57.6,https://www.usnews.com/education/best-global-universities/university-of-southern-california-123961,http://www.usc.edu/
45,#59,#233,#12,#28,57.4,#13,#63,#63,#32,University of North Carolina--Chapel Hill,#39,57.4,https://www.usnews.com/education/best-global-universities/university-of-north-carolina-chapel-hill-199120,http://www.unc.edu
46,#37,#174,#9,#37,57.2,#14,#82,#92,#39,University of California--San Diego,#40,57.2,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680,http://www.ucsd.edu/
47,#79,#182,#16,#34,54.3,#9,#87,#112,#48,University of Washington,#46,54.3,https://www.usnews.com/education/best-global-universities/university-of-washington-236948,http://www.washington.edu
48,#96,#224,#2,#44,53.7,#1,#188,#109,#64,Dartmouth College,#47,53.7,https://www.usnews.com/education/best-global-universities/dartmouth-college-182670,http://www.dartmouth.edu
49,#47,#44,#121,#53,52.9,#125,#39,#101,#51,University of Illinois--Urbana-Champaign,"#50
          Tie",52.9,https://www.usnews.com/education/best-global-universities/university-of-illinois-urbana-champaign-145637,http://www.illinois.edu
50,#148,#83,#71,#121,34.6,#70,#176,#164,#135,Temple University,"#125
          Tie",34.6,https://www.usnews.com/education/best-global-universities/temple-university-216339,http://www.temple.edu
51,#232,#75,#109,#93,34.6,#82,#100,#222,#102,University of Houston,"#125
          Tie",34.6,https://www.usnews.com/education/best-global-universities/university-of-houston-225511,http://www.uh.edu
52,#227,#16,#28,#105,34.2,#23,#238,#235,#131,University of Miami,"#129
          Tie",34.2,https://www.usnews.com/education/best-global-universities/university-of-miami-135726,http://www.miami.edu
53,#133,#183,#89,#109,33.6,#85,#144,#176,#121,Georgetown University,#134,33.6,https://www.usnews.com/education/best-global-universities/georgetown-university-131496,http://www.georgetown.edu
54,#140,#216,#77,#113,31.9,#92,#139,#197,#113,George Washington University,"#136
          Tie",31.9,https://www.usnews.com/education/best-global-universities/george-washington-university-131469,http://www.gwu.edu
55,#203,#164,#44,#109,31.9,#45,#201,#208,#123,Northeastern University,"#136
          Tie",31.9,https://www.usnews.com/education/best-global-universities/northeastern-university-167358,http://www.northeastern.edu/
56,#141,#230,#155,#127,31.2,#165,#94,#139,#112,George Mason University,"#141
          Tie",31.2,https://www.usnews.com/education/best-global-universities/george-mason-university-232186,http://www.gmu.edu
57,#182,#190,#167,#127,31.1,#168,#88,#176,#114,Florida State University,#144,31.1,https://www.usnews.com/education/best-global-universities/florida-state-university-134097,http://www.fsu.edu
58,#171,#192,#51,#127,30.7,#101,#155,#217,#110,University of California--Irvine,"#147
          Tie",30.7,https://www.usnews.com/education/best-global-universities/university-of-california-irvine-110653,http://www.uci.edu
59,#97,#125,#160,#158,29.7,#124,#197,#131,#192,Johns Hopkins University,"#153
          Tie",29.7,https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928,http://www.jhu.edu
60,#100,#239,#127,#158,24.4,#127,#190,#180,#171,University of Pittsburgh,"#186
          Tie",24.4,https://www.usnews.com/education/best-global-universities/university-of-pittsburgh-215293,http://www.pitt.edu/
61,#175,#218,#202,#174,22.9,#197,#133,#180,#180,Iowa State University,#191,22.9,https://www.usnews.com/education/best-global-universities/iowa-state-university-153603,http://www.iastate.edu
62,#229,#246,#69,#131,21.2,#47,#238,#222,#168,Brigham Young University--Provo,"#195
          Tie",21.2,https://www.usnews.com/education/best-global-universities/brigham-young-university-provo-230038,http://www.byu.edu
63,#163,#215,#147,#210,21.1,#191,#206,#164,#190,University of Missouri,"#197
          Tie",21.1,https://www.usnews.com/education/best-global-universities/university-of-missouri-178396,http://www.missouri.edu
64,#238,#17,#77,#123,20.8,#47,#222,#244,#159,Drexel University,"#199
          Tie",20.8,https://www.usnews.com/education/best-global-universities/drexel-university-212054,http://www.drexel.edu
65,#55,#19,#63,#55,52.7,#51,#67,#112,#67,Boston University,"#52
          Tie",52.7,https://www.usnews.com/education/best-global-universities/boston-university-164988,http://www.bu.edu
66,#34,#172,#69,#50,52.7,#65,#55,#59,#55,University of Wisconsin--Madison,"#52
          Tie",52.7,https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444,http://www.wisc.edu
67,#41,#21,#51,#77,50.1,#32,#125,#81,#92,Georgia Institute of Technology,#64,50.1,https://www.usnews.com/education/best-global-universities/georgia-institute-of-technology-139755,http://www.gatech.edu/
68,#90,#92,#41,#60,49.2,#40,#92,#102,#74,University of Virginia,#66,49.2,https://www.usnews.com/education/best-global-universities/university-of-virginia-234076,http://www.virginia.edu
69,#92,#128,#22,#60,48.5,#28,#111,#133,#69,Boston College,"#67
          Tie",48.5,https://www.usnews.com/education/best-global-universities/boston-college-164924,http://www.bc.edu
70,#95,#80,#84,#55,48.5,#83,#56,#139,#59,"Rutgers, The State University of New Jersey--New Brunswick","#67
          Tie",48.5,https://www.usnews.com/education/best-global-universities/rutgers-the-state-university-of-new-jersey-new-brunswick-186380,http://www.rutgers.edu
71,#99,#23,#47,#63,48.3,#38,#96,#148,#78,University of Texas--Dallas,#69,48.3,https://www.usnews.com/education/best-global-universities/university-of-texas-dallas-228787,http://www.utdallas.edu
72,#28,#187,#40,#79,48.2,#41,#121,#55,#80,Carnegie Mellon University,#70,48.2,https://www.usnews.com/education/best-global-universities/carnegie-mellon-university-211440,http://www.cmu.edu
73,#56,#85,#104,#72,47.4,#95,#62,#123,#76,Purdue University--West Lafayette,"#73
          Tie",47.4,https://www.usnews.com/education/best-global-universities/purdue-university-west-lafayette-243780,http://www.purdue.edu
74,#117,#73,#95,#68,46.0,#111,#53,#172,#60,Georgia State University,#79,46,https://www.usnews.com/education/best-global-universities/georgia-state-university-139940,http://www.gsu.edu
